,ssd,bert_base_squad,bert_large_squad,gnmt,ncf,resnet50,tacotron2,waveglow
LambdaOD_1x_Texas_H100_80GB_SXM5_192-222-52-129_v2,859.0,858.0,311.0,473757.0,70260592.0,2791.0,85457.0,472240.0
LambdaOD_1x_Texas_H100_80GB_SXM5_192-222-52-154_v2,858.0,856.0,310.0,480453.0,70248730.0,2792.0,89891.0,471166.0
LambdaOD_1x_Texas_H100_80GB_SXM5_192-222-52-179_v2,856.0,845.0,308.0,474226.0,70239335.0,2790.0,85950.0,469870.0
LambdaOD_1x_Texas_H100_80GB_SXM5_192-222-52-249_v2,860.0,862.0,312.0,482622.0,70323745.0,2800.0,90420.0,471888.0
LambdaOD_1x_Texas_H100_80GB_SXM5_192-222-52-60_v2,859.0,859.0,311.0,481761.0,70267349.0,2791.0,90692.0,471987.0
LambdaOD_1x_Texas_H100_80GB_SXM5_192-222-52-74_v2,858.0,847.0,310.0,477117.0,70251549.0,2792.0,86655.0,470968.0
LambdaOD_1x_Texas_H100_80GB_SXM5_192-222-52-77_v2,859.0,859.0,311.0,483851.0,70298085.0,2792.0,90479.0,471414.0
LambdaOD_1x_Texas_H100_80GB_SXM5_192-222-52-92_v2,858.0,847.0,310.0,475327.0,70239647.0,2792.0,85117.0,470930.0
LambdaOD_2x_Texas_2xH100_80GB_SXM5_192-222-52-120_v2,1707.0,1662.0,603.0,923977.0,260852163.0,5531.0,150053.0,925228.0
LambdaOD_2x_Texas_2xH100_80GB_SXM5_192-222-52-176_v2,1708.0,1684.0,608.0,929719.0,260672376.0,5526.0,155416.0,926402.0
LambdaOD_2x_Texas_2xH100_80GB_SXM5_192-222-52-211_v2,1706.0,1666.0,605.0,925565.0,260783891.0,5526.0,144537.0,925565.0
LambdaOD_2x_Texas_2xH100_80GB_SXM5_192-222-52-65_v2,1708.0,1680.0,606.0,929816.0,260766210.0,5526.0,148234.0,925875.0
LambdaOD_2x_Texas_H100_80GB_SXM5_192-222-52-120_v2,865.0,853.0,308.0,465138.0,70305304.0,2794.0,82634.0,470466.0
LambdaOD_2x_Texas_H100_80GB_SXM5_192-222-52-176_v2,866.0,857.0,310.0,473617.0,70255031.0,2790.0,85296.0,471666.0
LambdaOD_2x_Texas_H100_80GB_SXM5_192-222-52-211_v2,866.0,848.0,310.0,472251.0,70278010.0,2793.0,83690.0,472006.0
LambdaOD_2x_Texas_H100_80GB_SXM5_192-222-52-65_v2,866.0,856.0,309.0,469679.0,70272751.0,2789.0,85328.0,471139.0
LambdaOD_4x_Texas_2xH100_80GB_SXM5_192-222-52-139_v2,1721.0,1683.0,612.0,948175.0,260711106.0,5531.0,162412.0,929283.0
LambdaOD_4x_Texas_2xH100_80GB_SXM5_192-222-52-178_v2,1718.0,1653.0,608.0,942438.0,260709189.0,5529.0,155304.0,928169.0
LambdaOD_4x_Texas_4xH100_80GB_SXM5_192-222-52-139_v2,3407.0,3373.0,1218.0,1873266.0,11597808913.0,11057.0,329940.0,1831053.0
LambdaOD_4x_Texas_4xH100_80GB_SXM5_192-222-52-178_v2,3386.0,3325.0,1220.0,1882717.0,12176782834.0,11059.0,325657.0,1829184.0
LambdaOD_4x_Texas_H100_80GB_SXM5_192-222-52-139_v2,865.0,863.0,312.0,482396.0,70260299.0,2791.0,89563.0,472002.0
LambdaOD_4x_Texas_H100_80GB_SXM5_192-222-52-178_v2,864.0,850.0,310.0,478725.0,70245303.0,2790.0,88676.0,471458.0
LambdaOD_8x_Texas_2xH100_80GB_SXM5_192-222-52-149_v2,1721.0,1648.0,600.0,918407.0,260584258.0,5520.0,145932.0,923782.0
LambdaOD_8x_Texas_2xH100_80GB_SXM5_192-222-52-89_v2,1723.0,1602.0,601.0,920701.0,260480029.0,5521.0,143994.0,925039.0
LambdaOD_8x_Texas_4xH100_80GB_SXM5_192-222-52-149_v2,3422.0,3200.0,1219.0,1823514.0,11281510065.0,11035.0,294831.0,1824485.0
LambdaOD_8x_Texas_4xH100_80GB_SXM5_192-222-52-89_v2,3420.0,3248.0,1177.0,1822231.0,10651099118.0,11040.0,293970.0,1824014.0
LambdaOD_8x_Texas_8xH100_80GB_SXM5_192-222-52-149_v2,6763.0,9320.0,2340.0,3724477.0,7979704753.0,22059.0,494127.0,3665963.0
LambdaOD_8x_Texas_8xH100_80GB_SXM5_192-222-52-89_v2,6771.0,9320.0,2289.0,3720858.0,8054750323.0,22067.0,462310.0,3666750.0
LambdaOD_8x_Texas_H100_80GB_SXM5_192-222-52-149_v2,866.0,840.0,308.0,471881.0,70259707.0,2789.0,82939.0,470986.0
LambdaOD_8x_Texas_H100_80GB_SXM5_192-222-52-89_v2,866.0,836.0,308.0,472294.0,70268004.0,2788.0,83904.0,471373.0
