54, 0 %, 1 MiB
55, 6 %, 454 MiB
55, 0 %, 874 MiB
54, 10 %, 4732 MiB
57, 97 %, 23650 MiB
60, 98 %, 23216 MiB
61, 100 %, 23936 MiB
62, 100 %, 23936 MiB
63, 100 %, 23936 MiB
63, 100 %, 23936 MiB
63, 100 %, 23936 MiB
64, 100 %, 23938 MiB
65, 100 %, 23938 MiB
65, 100 %, 23938 MiB
65, 100 %, 23938 MiB
66, 100 %, 23938 MiB
66, 100 %, 23938 MiB
67, 100 %, 23938 MiB
67, 100 %, 23938 MiB
67, 100 %, 23938 MiB
67, 100 %, 23938 MiB
68, 100 %, 23938 MiB
68, 100 %, 23938 MiB
69, 100 %, 23938 MiB
69, 100 %, 23938 MiB
69, 100 %, 23938 MiB
69, 100 %, 23938 MiB
69, 100 %, 23938 MiB
69, 100 %, 23938 MiB
69, 100 %, 23938 MiB
69, 100 %, 23938 MiB
69, 100 %, 23938 MiB
70, 100 %, 23938 MiB
70, 100 %, 23938 MiB
68, 100 %, 23938 MiB
70, 100 %, 23938 MiB
70, 100 %, 23938 MiB
70, 100 %, 23938 MiB
70, 100 %, 23938 MiB
70, 100 %, 23938 MiB
70, 100 %, 23938 MiB
70, 100 %, 23938 MiB
71, 100 %, 23938 MiB
71, 100 %, 23938 MiB
69, 100 %, 23938 MiB
70, 100 %, 23938 MiB
70, 100 %, 23938 MiB
70, 100 %, 23938 MiB
71, 100 %, 23938 MiB
70, 100 %, 23938 MiB
71, 100 %, 23938 MiB
70, 100 %, 23938 MiB
71, 100 %, 23938 MiB
71, 100 %, 23938 MiB
71, 100 %, 23938 MiB
70, 100 %, 23938 MiB
71, 100 %, 23938 MiB
71, 100 %, 23938 MiB
71, 100 %, 23938 MiB
71, 100 %, 23938 MiB
70, 100 %, 23938 MiB
71, 100 %, 23938 MiB
71, 100 %, 23938 MiB
67, 0 %, 23290 MiB
66, 0 %, 1 MiB
